65,American Earth: Environmental Writing Since Thoreau,Bill McKibben,9.78E+12,1598530208,$29.13 ,Hardcover,Library of America,8-Apr,,"Natural Literature & History, Literature Anthologies - General & Miscellaneous, American Literature Anthologies",,900
66,Best Poems of the English Language: From Chaucer Through Robert Frost,Harold Bloom,9.78E+12,60540427,$15.79 ,Paperback,HarperCollins Publishers,7-Aug,Reprint,"Poetry, American Literature Anthologies, Anthologies, English, Irish, & Scottish Poetry",,1008
67,Humor Me: An Anthology of Funny Contemporary Writing (Plus Some Great Old Stuff Too),Ian Frazier,9.78E+12,61728942,$25.99 ,Hardcover,HarperCollins Publishers,10-May,,"Humor, General",,
68,Coming of Age in America: A Multicultural Anthology,Mary Frosch,9.78E+12,1565841476,$16.41 ,Paperback,"New Press, The",7-Sep,Reprint,"Peoples & Cultures - American Anthologies, Ethnic & Minority Studies - United States",,288
69,"Three African-American Classics: Up from Slavery, The Souls of Black Folk and Narrative of the Life of Frederick Douglass",Booker T. Washington,9.78E+12,486457575,$6.63 ,Paperback,Dover Publications,7-Feb,,"Teachers - General & Miscellaneous - Biography, Slavery - Social Sciences, Civil Rights - Movements & Figures, Historical Biography - United States - 19th Century, Civil Rights - African American History, Abolitionists - Biography, Slavery & Abolitionism",,448
70,100 Best African American Poems with CD,Nikki Giovanni,9.78E+12,1402221118,$18.39 ,Other Format,"Sourcebooks, Incorporated",10-Nov,,"Poetry Anthologies, American Poetry, American Literature Anthologies",,256
71,Six American Poets: An Anthology,Joel Conarroe,9.78E+12,679745254,$12.24 ,Paperback,Knopf Doubleday Publishing Group,Dec-93,1st Vintage Books ed,"Poetry, American Literature Anthologies, Anthologies",,320
72,Norton Anthology of Literature by Women: The Traditions in English,Sandra M. Gilbert,9.78E+12,393930157,$70.64 ,Paperback,"Norton, W. W. & Company, Inc.",7-Feb,3rd Edition,"American Literature Anthologies, Anthologies",,2452
73,Multicultural Children's Literature: Through the Eyes of Many Children,Donna E. Norton,9.78E+12,135145287,$46.00 ,Paperback,Prentice Hall,8-Mar,3rd Edition,"Literary Criticism, Children's Literature",,
74,The Voice That Is Great within Us: American Poetry of the Twentieth Century,Hayden Carruth,9.78E+12,553262637,$8.40 ,Mass Market Paperback,Random House Publishing Group,Sep-83,Reprint,"Poetry Anthologies, American Poetry, American Literature Anthologies",,768
75,Poems That Touch the Heart,A.L. Alexander,9.78E+12,385044011,$14.99 ,Hardcover,Knopf Doubleday Publishing Group,Oct-84,ENLARGED,"Poetry Anthologies, American Poetry, American Literature Anthologies, Inspirational & Religious Poetry - General & Miscellaneous",,464
76,I Thought My Father Was God: And Other True Tales from NPR's National Story Project,Paul Auster,9.78E+12,312421001,$12.29 ,Paperback,Picador,2-Sep,REV,"Short Story Anthologies, Historical Biography - United States - General & Miscellaneous, World History - General & Miscellaneous, American Literature Anthologies",,416
77,Listening For God Rdr Vol 4,Paula J. Carlson,9.78E+12,806645776,$13.43 ,Paperback,"Augsburg Fortress, Publishers",3-Jan,New Edition,"Faith, Literature Anthologies - General & Miscellaneous, General & Miscellaneous Christian Life, American Literature Anthologies",,164
78,The American Tradition in Literature (concise) book alone,George Perkins,9.78E+12,73384895,$106.79 ,Paperback,"McGraw-Hill Companies, The",8-Nov,12nd Edition,American Literature Anthologies,,2352
79,"Approaching Literature: Writing, Reading, Thinking",Peter Schakel,9.78E+12,312452837,$48.94 ,Paperback,Bedford/St. Martin's,7-Dec,2nd Edition,"Nonfiction Writing - General & Miscellaneous, English Language Readers, Student Life - College Guides, Rhetoric - English Language, American Literature Anthologies",,1696
80,The Norton Anthology of American Literature: Volume C: 1865-1914,Arnold Krupat,9.78E+12,393927415,$37.77 ,Paperback,"Norton, W. W. & Company, Inc.",7-Apr,7th Edition,American Literature Anthologies,,1094
81,American Fantastic Tales Boxed Set,Peter Straub,9.78E+12,1598530593,$49.42 ,Hardcover,Library of America,9-Oct,,"Fiction, American Literature Anthologies, Fiction Subjects",,1500
82,Unsettling America: An Anthology of Contemporary Multicultural Poetry,Maria Mazziotti Gillan,9.78E+12,014023778X,$16.16 ,Paperback,Penguin Group (USA),Nov-94,,"Poetry Anthologies, American Poetry, American Literature Anthologies",,432
83,"Listening For God Reader, Vol 1",Paula J. Carlson,9.78E+12,806627158,$13.43 ,Paperback,"Augsburg Fortress, Publishers",Aug-94,New Edition,"Faith, Literature Anthologies - General & Miscellaneous, General & Miscellaneous Christian Life, American Literature Anthologies",,164
84,Concise Anthology of American Literature,James Leonard,9.78E+12,205763103,$92.38 ,Paperback,Prentice Hall,10-Jan,7th Edition,American Literature Anthologies,,2368
85,"The Heath Anthology of American Literature: Contemporary Period (1945 To The Present), Volume E",Paul Lauter,9.78E+12,054720180X,$87.49 ,Paperback,Cengage Learning,9-Mar,6th Edition,American Literature Anthologies,,3612
86,The Portable Harlem Renaissance Reader,David Lewis,9.78E+12,140170367,$15.90 ,Paperback,Penguin Group (USA),Jun-95,1,"Places - Literary Anthologies, Regional American Anthologies, Peoples & Cultures - American Anthologies, American Literature Anthologies",,816
